"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.34967396026021,0.738,0.285,0,"Macrophage","CCL1"
0,1.37433184195887,0.929,0.614,0,"Macrophage","ARID5B"
0,1.3934126482953,0.807,0.503,0,"Macrophage","ARG2"
0,1.29514062087922,0.992,0.716,0,"Macrophage","RGS1"
0,1.66727287661999,0.588,0.317,0,"Macrophage","PLA1A"
0,1.30010342170748,0.678,0.411,0,"Macrophage","LINC01268"
0,1.73082696808315,0.975,0.715,0,"Macrophage","TNF"
0,2.02551069224567,0.845,0.597,0,"Macrophage","TENM2"
0,1.78507985713246,0.898,0.661,0,"Macrophage","RGS16"
0,1.60878411428221,0.842,0.619,0,"Macrophage","AC106028.4"
0,1.42221322946252,0.897,0.675,0,"Macrophage","MYC"
0,1.96825610662614,0.881,0.66,0,"Macrophage","CCL8"
0,1.49900119305086,0.827,0.61,0,"Macrophage","RND1"
0,1.95723106104537,0.752,0.54,0,"Macrophage","TCHH"
0,1.39922285336914,0.616,0.41,0,"Macrophage","AL136987.1"
0,1.29106919963697,0.49,0.291,0,"Macrophage","DACT1"
0,1.36427138716128,0.955,0.762,0,"Macrophage","LPL"
0,1.29630753648092,0.954,0.764,0,"Macrophage","GPR183"
0,1.99498013889128,0.953,0.77,0,"Macrophage","RCAN1"
0,1.50195585757771,0.983,0.802,0,"Macrophage","ABL2"
0,1.82360876920627,0.983,0.803,0,"Macrophage","CCL2"
0,1.66959996530956,0.78,0.614,0,"Macrophage","PIF1"
0,1.56253944688554,0.922,0.758,0,"Macrophage","IL1A"
0,1.96327289743099,0.888,0.728,0,"Macrophage","DNAAF1"
0,1.52054697994332,0.334,0.176,0,"Macrophage","LINC01436"
0,1.38745667942843,0.981,0.824,0,"Macrophage","NR4A3"
0,1.51668802110353,0.64,0.484,0,"Macrophage","ZCCHC12"
0,2.25593718712176,0.513,0.36,0,"Macrophage","KCNA1"
0,1.34181710728454,0.851,0.71,0,"Macrophage","INHBA"
0,1.53751326083531,0.979,0.843,0,"Macrophage","PRDM1"
0,1.79431469157084,0.861,0.726,0,"Macrophage","NPHS1"
0,1.35166691546564,0.913,0.785,0,"Macrophage","CCL5"
0,1.37731990486118,0.884,0.762,0,"Macrophage","TNFAIP8L3"
0,1.65397860469364,0.921,0.82,0,"Macrophage","MIR155HG"
0,1.99039870080026,0.945,0.848,0,"Macrophage","IL6"
0,1.31667745100823,0.846,0.753,0,"Macrophage","SYNPO2"
0,1.56613959865863,0.884,0.798,0,"Macrophage","RAB7B"
0,1.29251554248096,0.818,0.733,0,"Macrophage","TNFSF9"
0,1.3663403949048,0.859,0.776,0,"Macrophage","CSF2"
0,1.61501932504357,0.874,0.803,0,"Macrophage","CCR7"
0,1.38494198326252,0.999,0.952,0,"Macrophage","IL1B"
0,1.87414110410647,1,0.957,0,"Macrophage","CCL3L1"
0,1.72203603642625,1,0.978,0,"Macrophage","CCL3"
0,1.74726314450011,1,0.984,0,"Macrophage","CCL4"
0,1.86267704607918,1,0.987,0,"Macrophage","CCL4L2"
1.06596542782472e-188,1.73929681431273,0.319,0.227,2.13193085564944e-185,"Macrophage","AC100849.1"
1.15967868142255e-175,1.32219847511428,0.426,0.386,2.31935736284509e-172,"Macrophage","FP700111.1"
6.57788948220773e-129,1.74871252086205,0.476,0.418,1.31557789644155e-125,"Macrophage","TNFSF18"
2.07891947306031e-102,2.00863768680557,0.162,0.236,4.15783894612061e-99,"Macrophage","RAD51AP2"
1.34075542740743e-76,1.65212122811488,0.425,0.411,2.68151085481486e-73,"Macrophage","AC073352.2"
0,1.39179013867693,0.812,0.341,0,"Microglia","MCM10"
0,1.30487619844657,0.89,0.506,0,"Microglia","MMP7"
0,1.23124420960732,0.805,0.459,0,"Microglia","CDT1"
0,1.06393810996951,0.807,0.468,0,"Microglia","MCM4"
0,1.01046073088722,0.537,0.235,0,"Microglia","HIST1H1A"
0,0.95332929910002,0.62,0.343,0,"Microglia","IDO1"
0,1.86475249281831,0.69,0.422,0,"Microglia","MYOZ2"
0,0.941010829111788,0.821,0.562,0,"Microglia","CLSPN"
0,1.13649337864005,0.687,0.438,0,"Microglia","TUBB1"
0,1.03342534211201,0.624,0.375,0,"Microglia","PRC1"
0,1.13673538629756,0.798,0.554,0,"Microglia","TK1"
0,0.898148392913865,0.613,0.37,0,"Microglia","CENPK"
0,1.22649652053962,0.773,0.537,0,"Microglia","FABP4"
0,1.08292612413396,0.913,0.68,0,"Microglia","FABP3"
0,1.07803159491671,0.652,0.425,0,"Microglia","RAD51AP1"
0,1.32653871216777,0.716,0.49,0,"Microglia","MRC1"
0,1.62864065367188,0.957,0.734,0,"Microglia","RAB42"
0,1.09351609391369,0.955,0.746,0,"Microglia","RBP4"
0,1.07562732594666,0.825,0.62,0,"Microglia","PLA2G7"
0,0.922277017684819,0.959,0.783,0,"Microglia","IFI6"
0,1.17571704547676,0.807,0.633,0,"Microglia","F13A1"
0,1.23917263572888,0.972,0.799,0,"Microglia","GCHFR"
0,1.42973326383354,0.443,0.271,0,"Microglia","CALB2"
0,0.964989853330774,0.945,0.778,0,"Microglia","NUPR1"
0,0.881035843261898,0.883,0.718,0,"Microglia","MS4A4A"
0,1.55480815829218,0.689,0.534,0,"Microglia","CCL13"
0,1.21850997345513,0.954,0.799,0,"Microglia","CYP19A1"
0,0.928811295491147,0.779,0.644,0,"Microglia","FCGBP"
0,1.00504504874817,0.813,0.678,0,"Microglia","PLTP"
0,1.89749695555523,0.481,0.348,0,"Microglia","CD209"
0,1.00861513043822,0.411,0.284,0,"Microglia","AC104051.2"
0,0.863435886665878,0.348,0.232,0,"Microglia","HIST1H3B"
0,2.7591326307521,0.358,0.243,0,"Microglia","AP001189.1"
0,1.08772475895561,0.942,0.838,0,"Microglia","TUBA1B"
0,0.984203018161919,0.991,0.918,0,"Microglia","CTSB"
0,1.68819704466093,0.157,0.2,0,"Microglia","SYT4"
0,1.03718187141256,1,0.998,0,"Microglia","SPP1"
0,0.905606272189521,1,1,0,"Microglia","FTL"
1.14041742147217e-275,0.976904435586449,0.659,0.511,2.28083484294434e-272,"Microglia","FOLR2"
6.54603966753002e-260,0.851291829870849,0.84,0.697,1.309207933506e-256,"Microglia","LGMN"
7.40064742763624e-198,2.06868926882066,0.373,0.3,1.48012948552725e-194,"Microglia","MMP12"
1.80596779284214e-189,0.940117525170933,0.452,0.403,3.61193558568429e-186,"Microglia","TSPAN7"
5.45714995161578e-180,1.0933688527375,0.555,0.428,1.09142999032316e-176,"Microglia","S100B"
5.59536403577294e-160,0.945624598505436,0.729,0.697,1.11907280715459e-156,"Microglia","RNASE2"
4.6909609017116e-93,0.85031587014728,0.499,0.453,9.3819218034232e-90,"Microglia","KIF20B"
6.09164029857946e-88,0.878960067217607,0.437,0.415,1.21832805971589e-84,"Microglia","AC108134.2"
3.44713508234928e-62,1.10398185282172,0.386,0.326,6.89427016469855e-59,"Microglia","ENPP2"
3.30728393486237e-47,1.1319692210078,0.426,0.311,6.61456786972474e-44,"Microglia","TMEM40"
3.03212010505055e-36,1.34399845584536,0.255,0.241,6.0642402101011e-33,"Microglia","AC011139.1"
0.00107035234045402,0.849807729713186,0.56,0.463,1,"Microglia","LAD1"
0,1.19287210837755,0.653,0.31,0,"Dendritic Cell","FAM30A"
0,1.1056588250597,0.834,0.505,0,"Dendritic Cell","IL24"
0,1.14344209159826,0.702,0.385,0,"Dendritic Cell","DMP1"
0,1.12692189015484,0.673,0.365,0,"Dendritic Cell","CD1C"
0,1.16982982812797,0.759,0.462,0,"Dendritic Cell","MS4A1"
0,2.16965850869523,0.703,0.425,0,"Dendritic Cell","AC122108.2"
0,1.27649870631032,0.529,0.264,0,"Dendritic Cell","AC104051.2"
0,2.29667439081066,0.95,0.685,0,"Dendritic Cell","HSPH1"
0,3.03246124454089,0.754,0.503,0,"Dendritic Cell","HSPA6"
0,1.13100712058427,0.912,0.666,0,"Dendritic Cell","EGR2"
0,1.48567127153127,0.693,0.452,0,"Dendritic Cell","GRID2"
0,1.26890667895897,0.746,0.507,0,"Dendritic Cell","THRB"
0,1.66393276712686,0.428,0.191,0,"Dendritic Cell","AL590434.1"
0,2.57016748813078,0.988,0.757,0,"Dendritic Cell","DNAJB1"
0,3.01779998665767,0.993,0.762,0,"Dendritic Cell","HSPA1B"
0,2.58138038431699,0.814,0.587,0,"Dendritic Cell","BAG3"
0,1.25094614672551,0.675,0.455,0,"Dendritic Cell","AL138689.2"
0,1.30729851485299,0.943,0.723,0,"Dendritic Cell","HSPE1"
0,1.5574209478854,0.783,0.565,0,"Dendritic Cell","HSPB1"
0,1.64075138916589,0.949,0.736,0,"Dendritic Cell","IER5"
0,2.58180620678091,0.417,0.211,0,"Dendritic Cell","ANGPTL7"
0,1.9919374292728,0.503,0.31,0,"Dendritic Cell","FCRLA"
0,1.48987354532184,0.687,0.495,0,"Dendritic Cell","CD1E"
0,1.35338338092581,0.486,0.296,0,"Dendritic Cell","ACY3"
0,2.27913500904706,0.771,0.583,0,"Dendritic Cell","DNAJA4"
0,2.04615576161452,0.74,0.553,0,"Dendritic Cell","ZFAND2A"
0,1.75248486797701,0.61,0.425,0,"Dendritic Cell","DNAJB4"
0,1.25935737016685,0.439,0.263,0,"Dendritic Cell","LINC02076"
0,3.09512186284425,0.999,0.824,0,"Dendritic Cell","HSPA1A"
0,3.43760278448393,0.502,0.341,0,"Dendritic Cell","AP000911.1"
0,1.32385360367329,0.937,0.779,0,"Dendritic Cell","HSPD1"
0,1.03790022998453,0.903,0.747,0,"Dendritic Cell","SLC5A3"
0,1.43852285152873,0.367,0.239,0,"Dendritic Cell","AOC1"
0,1.20538479697691,0.401,0.283,0,"Dendritic Cell","AL451042.2"
0,1.18603801078699,0.869,0.766,0,"Dendritic Cell","PDK4"
0,1.9048029815219,1,0.915,0,"Dendritic Cell","HSP90AA1"
0,1.47049920059746,0.996,0.917,0,"Dendritic Cell","JUN"
0,1.32730468955813,0.334,0.262,0,"Dendritic Cell","AL135960.1"
0,1.04780607101385,0.999,0.947,0,"Dendritic Cell","FOS"
4.17794395956353e-286,1.53817181095405,0.441,0.318,8.35588791912706e-283,"Dendritic Cell","LINC02158"
1.38262564735747e-271,1.51273472791211,0.364,0.282,2.76525129471493e-268,"Dendritic Cell","CCDC168"
5.21974925380704e-229,1.43957541462677,0.327,0.287,1.04394985076141e-225,"Dendritic Cell","AC010319.3"
6.00991743442928e-142,1.26628801317919,0.52,0.444,1.20198348688586e-138,"Dendritic Cell","AC245014.3"
5.48476417623914e-136,1.51821433713197,0.491,0.415,1.09695283524783e-132,"Dendritic Cell","BCO2"
5.9887274828015e-136,1.05130127996047,0.378,0.308,1.1977454965603e-132,"Dendritic Cell","PROX1"
2.5736300797954e-132,1.94071487861554,0.306,0.262,5.14726015959079e-129,"Dendritic Cell","AL031283.2"
2.5682589225878e-109,1.32111602638476,0.395,0.344,5.1365178451756e-106,"Dendritic Cell","MIR503HG"
1.33601574810458e-108,1.0621864965408,0.357,0.313,2.67203149620915e-105,"Dendritic Cell","CLEC9A"
5.61295999314023e-95,1.06207011427202,0.339,0.24,1.12259199862805e-91,"Dendritic Cell","AC243960.1"
2.40795130894824e-78,1.26207808192597,0.445,0.414,4.81590261789648e-75,"Dendritic Cell","AC108134.2"
0,6.2014786481158,0.062,0.4,0,"Neutrophil","FCRL2"
0,5.82963318004268,0.07,0.289,0,"Neutrophil","LYPD2"
0,4.78118669508456,0.969,0.835,0,"Neutrophil","VCAN"
0,3.15526878492324,0.722,0.855,0,"Neutrophil","CD52"
0,3.01541138070667,0.21,0.329,0,"Neutrophil","HOXA5"
0,3.55092359322047,0.742,0.847,0,"Neutrophil","MGST1"
